province,station_id,station name,"latitude (', '')","longitude (', "")",Elevation (m),Unnamed: 0,Unknown,Year,CityEN
四川,564920,宜宾,2848,10436.0,342.1,234,99999,2016,Yibin
四川,565710,西昌,2754,10216.0,1592.7,235,99999,2016,
四川,566710,会理,2639,10215.0,1788.6,238,99999,2016,
四川,572370,万源,3204,10802.0,675.0,270,99999,2016,
四川,573060,阆中,3135,10558.0,385.4,277,99999,2016,
四川,573280,达川,3112,10730.0,344.4,279,99999,2016,
四川,574110,高坪,3047,10606.0,311.0,283,99999,2016,
四川,575030,东兴区,2937,10507.0,351.4,290,99999,2016,
天津,545270,天津,3905,11703.0,4.3,169,99999,2016,
西藏,552280,狮泉河,3230,8005.0,4279.8,193,99999,2016,
西藏,552990,那曲,3129,9204.0,4508.2,195,99999,2016,Nagqu
西藏,556640,定日,2838,8705.0,4301.2,199,99999,2016,
西藏,561160,丁青,3125,9536.0,3874.3,213,99999,2016,
西藏,561370,昌都,3109,9710.0,3316.2,214,99999,2016,Qamdo
西藏,563120,林芝,2940,9420.0,2993.0,227,99999,2016,Nyingchi
新疆,510530,哈巴河,4803,8624.0,533.7,39,99999,2016,
新疆,510760,阿勒泰,4744,8805.0,736.5,40,99999,2016,
新疆,510870,富蕴,4659,8931.0,809.7,41,99999,2016,
新疆,511330,塔城,4644,8300.0,536.0,42,99999,2016,
新疆,511560,和布克赛尔,4647,8543.0,1294.2,43,99999,2016,
新疆,512430,克拉玛依,4537,8451.0,450.7,44,99999,2016,Karamay
新疆,513340,精河,4434,8249.0,330.2,46,99999,2016,
新疆,515420,巴音布鲁克,4302,8409.0,2459.4,53,99999,2016,
新疆,515730,吐鲁番,4256,8912.0,35.2,54,99999,2016,Turpan
新疆,516560,库尔勒,4145,8608.0,932.5,56,99999,2016,
新疆,517090,喀什,3929,7545.0,1386.7,57,99999,2016,Kashgar
新疆,517300,阿拉尔,4033,8116.0,1013.1,60,99999,2016,
新疆,517470,塔中,3900,8340.0,1100.0,61,99999,2016,
新疆,517650,铁干里克,4038,8742.0,847.7,62,99999,2016,
新疆,518110,莎车,3826,7716.0,1232.2,64,99999,2016,
新疆,518180,皮山,3737,7817.0,1376.4,65,99999,2016,
新疆,518280,和田,3708,7956.0,1376.0,66,99999,2016,Hotan
新疆,521120,淖毛湖,4345,9459.0,480.0,68,99999,2016,
新疆,522030,哈密,4249,9331.0,738.3,69,99999,2016,Hami
云南,564440,德钦,2829,9855.0,3320.8,231,99999,2016,
云南,565860,昭通,2721,10343.0,1950.0,236,99999,2016,Zhaotong
云南,566510,丽江,2651,10013.0,2382.1,237,99999,2016,Lijiang
云南,566840,会泽,2624,10315.0,2189.3,239,99999,2016,
云南,567390,腾冲,2459,9830.0,1696.9,241,99999,2016,
云南,567480,保山,2507,9911.0,1651.2,242,99999,2016,Baoshan
云南,567510,大理,2542,10011.0,1991.6,243,99999,2016,Dali
云南,567780,昆明,2500,10239.0,1889.1,246,99999,2016,Kunming
云南,568860,泸西,2432,10346.0,1705.5,249,99999,2016,
云南,569460,耿马,2333,9924.0,1104.8,250,99999,2016,
云南,569510,临沧,2353,10005.0,1502.6,251,99999,2016,Lincang
云南,569540,澜沧,2234,9956.0,1054.4,252,99999,2016,
云南,569640,思茅,2247,10058.0,1302.9,254,99999,2016,
云南,569660,元江,2336,10159.0,401.6,255,99999,2016,
云南,569690,勐腊,2128,10135.0,634.4,256,99999,2016,
云南,569770,江城,2235,10151.0,1121.0,257,99999,2016,
云南,590070,广南,2404,10504.0,1251.4,370,99999,2016,
浙江,584570,杭州,3014,12010.0,42.6,342,99999,2016,Hangzhou
浙江,584720,嵊泗,3044,12227.0,73.9,343,99999,2016,
浙江,584770,定海,3002,12206.0,36.7,344,99999,2016,
浙江,585430,淳安,2937,11901.0,172.6,347,99999,2016,
浙江,585560,嵊州,2936,12049.0,103.8,348,99999,2016,
浙江,585690,石浦,2912,12157.0,129.2,349,99999,2016,
浙江,586460,丽水,2827,11955.0,59.6,352,99999,2016,Lishui
浙江,586660,大陈,2827,12154.0,84.4,353,99999,2016,
浙江,587520,瑞安,2747,12039.0,37.9,358,99999,2016,
重庆,573480,奉节,3101,10932.0,300.3,280,99999,2016,Fengjie
重庆,575160,重庆,2935,10628.0,259.6,291,99999,2016,
重庆,576330,酉阳,2849,10846.0,827.7,296,99999,2016,Youyang
