ProvID,ProvCN,ProvEN,CityID,CityCN,CityEN,AreaCode,Postcode,Plate
,,,3206,丽江,Lijiang,0888,674100,云P
,,,3207,普洱,Puer,0879,665000,云J
,,,3208,临沧,Lincang,0883,677000,云S
,,,3209,德宏,Dehong,0692,678400,云N
,,,3210,怒江,Nujiang,0886,673200,云Q
,,,3211,迪庆,Diqing,0887,674400,云R
,,,3212,大理,Dali,0872,671000,云L
,,,3213,楚雄,Chuxiong,0878,675000,云E
,,,3214,红河,Honghe,0873,661100,云G
,,,3215,文山,Wenshan,0876,663000,云H
,,,3216,西双版纳,Sipsongpanna,0691,666100,云K
33,陕西,Shaanxi,3301,西安,Xi'an,029,710000,陕A
,,,3302,宝鸡,Baoji,0917,721000,陕C
,,,3303,咸阳,Xianyang,029,712000,陕D
,,,3304,渭南,Weinan,0913,714000,陕E
,,,3305,铜川,Tongchuan,0919,727000,陕B
,,,3306,延安,Yan'an,0911,716000,陕J
,,,3307,榆林,Yulin,0912,719000,陕K
,,,3308,安康,Ankang,0915,725000,陕G
,,,3309,汉中,Hanzhong,0916,723000,陕F
,,,3310,商洛,Shangluo,0914,726000,陕H
34,甘肃,Gansu,3401,兰州,Lanchow,0931,730000,甘A
,,,3402,嘉峪关,Jiayuguan,0937,735100,甘B
,,,3403,金昌,Jinchang,0935,737100,甘C
,,,3404,白银,Baiyin,0943,730900,甘D
,,,3405,天水,Tianshui,0938,741000,甘E
,,,3406,酒泉,Jiuquan,0937,735000,甘F
,,,3407,张掖,Zhangye,0936,734000,甘G
,,,3408,武威,Wuwei,0935,733000,甘H
,,,3409,定西,Dingxi,0932,743000,甘J
,,,3410,陇南,Longnan,0939,746000,甘K
,,,3411,平凉,Pingliang,0933,744000,甘L
,,,3412,庆阳,Qingyang,0934,745000,甘M
,,,3413,临夏,Linxia,0930,731100,甘N
,,,3414,甘南,Gannan,0941,747000,甘P
35,青海,Qinghai,3501,西宁,Xining,0971,810000,青A
,,,3502,海东,Haidong,0972,810699,青B
,,,3503,海北,Haibei,0970,812200,青C
,,,3504,黄南,Huangnan,0973,811300,青D
,,,3505,海南,Hainan,0974,813000,青E
,,,3506,果洛,Golog,0975,814000,青F
,,,3507,玉树,Yushu,0976,815000,青G
,,,3508,海西,Haixi,0977,817000,青H
36,内蒙古,Inner Mongolia,3601,呼和浩特,Hohehot,0471,010000,蒙A
,,,3602,包头,Baotou,0472,014000,蒙B
,,,3603,乌海,Wuhai,0473,016000,蒙C
,,,3604,赤峰,Chifeng,0476,024000,蒙D
,,,3605,通辽,Tongliao,0475,028000,蒙G
,,,3606,鄂尔多斯,Ordos,0477,017000,蒙K
,,,3607,呼伦贝尔,Hulun Buir,0470,021000,蒙E
,,,3608,巴彦淖尔,Bayan Nur,0478,015000,蒙L
,,,3609,乌兰察布,Ulanqab,0474,012000,蒙J
,,,3610,兴安盟,Hinggan League,0482,137400,蒙F
,,,3611,锡林郭勒盟,Xilingo League,0479,026000,蒙H
,,,3612,阿拉善盟,Alxa League,0483,750306,蒙M
37,广西,Guangxi,3701,南宁,Nanning,0771,530000,桂A
,,,3702,柳州,Liuzhou,0772,545000,桂B
,,,3703,桂林,Guilin,0773,541000,桂C
,,,3704,梧州,Wuzhou,0774,543000,桂D
,,,3705,北海,Beihai,0779,536000,桂E
,,,3706,防城港,Fangchenggang,0770,538000,桂P
,,,3707,钦州,Qinzhou,0777,535000,桂N
,,,3708,贵港,Guigang,0775,537100,桂R
,,,3709,玉林,Yulin,0775,537000,桂K
,,,3710,百色,Baise,0776,533000,桂L
,,,3711,贺州,Hezhou,0774,542800,桂J
,,,3712,河池,Hechi,0778,547000,桂M
,,,3713,来宾,Laibin,0772,546100,桂G
,,,3714,崇左,Chongzuo,0771,532200,桂F
38,宁夏,Ningxia,3801,银川,Yinchuan,0951,750000,宁A
,,,3802,石嘴山,Shizuishan,0952,753000,宁B
,,,3803,吴忠,Wuzhong,0953,751100,宁C
,,,3804,固原,Guyuan,0954,756000,宁D
,,,3805,中卫,Zhongwei,0955,755000,宁E
39,新疆,Sinkiang,3901,乌鲁木齐,Urumqi,0991,830001,新A
,,,3902,克拉玛依,Karamay,0990,834000,新J
,,,3903,吐鲁番,Turpan,0995,838000,新K
,,,3904,哈密,Hami,0902,839000,新L
,,,3905,阿克苏,Aksu,0997,843000,新N
,,,3906,喀什,Kashgar,0998,844000,新Q
,,,3907,和田,Hotan,0903,848000,新R
,,,3908,昌吉,Changji,0994,831100,新B
,,,3909,博州,Bortala,0909,833400,新E
,,,3910,巴州,Bayingol,0996,841000,新M
,,,3911,克州,Kizilsu Kirghiz,0908/0997,845350,新P
,,,3912,伊犁,Ili Kazak,0999,835000,新F
40,西藏,Tibet,4001,拉萨,Lhasa,0891,850000,藏A
,,,4002,昌都,Qamdo,0895,854000,藏B
,,,4003,日喀则,Shigatse,0892,857000,藏D
,,,4004,林芝,Nyingchi,0894,860000,藏G
,,,4005,山南,Lhoka,0893,856000,藏C
,,,4006,那曲,Nagqu,0896,852000,藏E
,,,4007,阿里,Ngari,0897,859000,藏F
